word,count
e,575
que,308
de,288
a,219
o,154
se,136
com,116
não,101
os,89
um,86
para,79
por,76
em,69
do,66
capitão,56
mais,55
eles,55
todos,54
nós,50
ou,49
terra,48
nos,48
uma,48
as,46
assim,44
muito,43
como,42
bem,42
da,41
ao,40
deles,38
outros,36
ali,36
na,35
mas,35
lá,34
lhes,34
lhe,34
à,33
vossa,31
ele,31
logo,30
alteza,27
rio,27
alguns,26
entre,25
tão,25
aqui,24
no,24
muitos,24
naus,23
nem,22
dois,22
arcos,22
já,21
praia,20
onde,19
depois,19
porque,18
foram,18
tanto,18
coisa,18
é,18
pela,17
mandou,17
então,17
aos,17
quando,17
fomos,17
água,17
qual,16
segundo,16
sem,16
até,16
andavam,16
grande,15
às,15
ser,15
fez,15
quais,15
esta,15
batéis,15
mui,15
era,15
são,14
fazer,14
foi,14
noite,14
sua,14
traziam,14
setas,14
dos,14
me,13
saber,13
pouco,13
homens,13
uns,13
alguma,13
gente,13
outra,13
nossa,13
das,12
feira,12
dias,12
estavam,12
senhor,11
também,11
há,11
dia,11
cruz,11
vieram,11
maneira,11
isto,11
seu,11
ela,11
dar,10
melhor,10
aquele,10
suas,10
outras,10
longo,10
toda,10
trazia,10
seus,10
comer,10
cima,10
tal,10
quase,10
cada,10
tudo,10
missa,10
ainda,9
nau,9
muita,9
mãos,9
penas,9
deu,9
creio,9
isso,9
bons,9
parte,9
deram,9
tinham,9
muitas,9
enquanto,9
degredados,9
conosco,9
desta,8
perto,8
três,8
nicolau,8
mar,8
mesmo,8
manhã,8
lenha,8
fossem,8
dentro,8
mão,8
andava,8
pelo,8
qualquer,8
ninguém,8
nossos,8
disse,8
mandar,8
vir,8
este,7
vista,7
dez,7
umas,7
nosso,7
diziam,7
dele,7
grandes,7
cinco,7
pequenos,7
coelho,7
batel,7
antes,7
homem,7
baixo,7
seria,7
estava,7
queriam,7
bartolomeu,7
degredado,7
carapuças,7
vimos,7
verdes,7
mor,6
capitães,6
falar,6
todavia,6
aquilo,6
vi,6
quatro,6
menos,6
eram,6
aves,6
braças,6
aquela,6
navios,6
boca,6
nas,6
parecer,6
tomar,6
esquife,6
beiço,6
fizeram,6
dizer,6
havia,6
acenaram,6
dela,6
nada,6
puseram,6
contas,6
vermelha,6
ribeiro,6
davam,6
tintura,6
veio,6
nela,6
acabada,6
pregação,6
esses,6
senão,6
parece,6
cinqüenta,6
eu,5
boa,5
pôr,5
pareceu,5
dito,5
horas,5
todo,5
obra,5
léguas,5
neste,5
acharam,5
vinte,5
dali,5
primeiro,5
fora,5
acudiram,5
vergonhas,5
vinham,5
fala,5
outro,5
afonso,5
meter,5
andam,5
inocência,5
ponta,5
modo,5
colar,5
ouro,5
sancho,5
tovar,5
quiseram,5
lhas,5
tornou,5
quem,5
todas,5
aqueles,5
passaram,5
além,5
podiam,5
altar,5
padre,5
pelos,5
tanta,5
iam,5
lha,5
estávamos,5
levavam,5
quanto,5
pano,5
estiveram,5
seriam,5
hoje,5
nova,4
conta,4
certo,4
ter,4
portanto,4
ilha,4
compridas,4
arvoredos,4
seis,4
vela,4
sete,4
oito,4
ver,4
ir,4
nus,4
direção,4
costa,4
carapuça,4
levava,4
vermelhas,4
brancas,4
tarde,4
causa,4
sexta,4
levantar,4
bom,4
haviam,4
seguro,4
ferro,4
porto,4
daqueles,4
corpos,4
prazer,4
sorte,4
alta,4
fonte,4
cadeira,4
pescoço,4
houvesse,4
mal,4
apenas,4
elas,4
meteu,4
tinha,4
ficar,4
camisa,4
mim,4
aí,4
tornaram,4
tomavam,4
pau,4
quartejados,4
cor,4
preta,4
pelas,4
houve,4
duas,4
vez,4
tornar,4
esse,4
nenhum,4
saiu,4
ilhéu,4
pode,4
andando,4
devoção,4
bandeira,4
sempre,4
essa,4
fim,4
levantaram,4
pedaço,4
pé,4
viram,4
ficaram,4
força,4
acabado,4
passou,4
velho,4
faziam,4
diogo,4
folgavam,4
chegamos,4
saímos,4
fé,4
posto,3
achamento,3
agora,3
nesta,3
vontade,3
pilotos,3
segunda,3
delas,3
houvemos,3
verde,3
seguinte,3
haver,3
tempo,3
partes,3
estando,3
nome,3
monte,3
sul,3
chã,3
sol,3
lançamos,3
ancoras,3
fizemos,3
indo,3
nove,3
meia,3
légua,3
chegaram,3
começou,3
pardos,3
sinal,3
vermelho,3
linho,3
sombreiro,3
continhas,3
sessenta,3
setenta,3
tínhamos,3
almadia,3
mancebos,3
arco,3
levou,3
caso,3
encobrir,3
osso,3
beber,3
cabelos,3
sobre,3
orelhas,3
cabeleira,3
alcatifa,3
prata,3
acenava,3
mostraram,3
consigo,3
tomaram,3
lançavam,3
trouxeram,3
vinho,3
dariam,3
queria,3
lho,3
costas,3
dormir,3
feitas,3
duzentos,3
daqui,3
saíram,3
levávamos,3
palmeiras,3
começaram,3
chegar,3
d'água,3
junto,3
maior,3
beiços,3
pareciam,3
meio,3
moças,3
altas,3
mandaram,3
tirar,3
parecia,3
daquelas,3
mulheres,3
tais,3
está,3
sermão,3
frei,3
henrique,3
sacerdotes,3
evangelho,3
ontem,3
folgando,3
trás,3
pedra,3
respeito,3
pernas,3
nenhuma,3
ficou,3
ia,3
misturados,3
esquivavam,3
aquém,3
joelhos,3
coisas,3
buraco,3
dedo,3
comemos,3
faz,3
casas,3
árvores,3
vermelhos,3
esteio,3
papagaios,3
verem,3
têm,3
seja,3
hóspedes,3
hão,3
santa,3
deve,3
deus,3
deste,3
contra,3
será,3
frota,2
navegação,2
disso,2
minha,2
caminho,2
digo,2
partida,2
belém,2
9,2
sábado,2
mês,2
andamos,2
domingo,2
pero,2
piloto,2
poder,2
seguimos,2
terça,2
abril,2
topamos,2
quantidade,2
chamam,2
quarta,2
alto,2
vera,2
lançar,2
ancoragem,2
quinta,2
direitura,2
diante,2
doze,2
frente,2
esquifes,2
chegou,2
cobrisse,2
pousassem,2
depuseram,2
entendimento,2
arremessou,2
cabeça,2
preto,2
ave,2
papagaio,2
querem,2
volveu,2
especialmente,2
norte,2
achávamos,2
pouso,2
assentados,2
poucos,2
distância,2
sítio,2
ditos,2
recife,2
larga,2
entrada,2
meteram,2
amainaram,2
ancoraram,2
tomou,2
numa,2
capitaina,2
feição,2
rostos,2
feitos,2
deixar,2
ambos,2
furado,2
metido,2
nele,2
comprimento,2
fica,2
feita,2
trazem,2
rapados,2
espécie,2
basta,2
pena,2
redonda,2
fazia,2
pés,2
vestido,2
simão,2
miranda,2
aires,2
íamos,2
sentados,2
chão,2
nessa,2
entraram,2
alguém,2
castiçal,2
novamente,2
traz,2
galinha,2
medo,2
peixe,2
cozido,2
rosário,2
dessem,2
folgou,2
lançou,2
tirou,2
volta,2
nesse,2
havíamos,2
maneiras,2
cabeleiras,2
levassem,2
cascavel,2
mancebo,2
viver,2
fosse,2
levamos,2
afastassem,2
pararam,2
corre,2
doce,2
dava,2
naquilo,2
ido,2
sair,2
agasalhou,2
beira,2
cabaças,2
barris,2
los,2
cascavéis,2
troca,2
sombreiros,2
bicos,2
furados,2
espelhos,2
cabos,2
cores,2
metade,2
própria,2
pretos,2
compridos,2
tamanha,2
entendia,2
sei,2
tornamo,2
ficasse,2
desse,2
primeira,2
lo,2
amarelas,2
tingida,2
daquela,2
graciosa,2
vendo,2
terem,2
tornamos,2
baía,2
apesar,2
estar,2
hora,2
marinheiros,2
miúdo,2
ouvir,2
naquele,2
voz,2
oficiada,2
meu,2
esteve,2
subiu,2
areia,2
pregou,2
viemos,2
olhando,2
sentaram,2
dançar,2
metiam,2
atadas,2
afastando,2
só,2
passarmos,2
ordem,2
falava,2
peitos,2
sentar,2
curtos,2
grosso,2
tamanho,2
comido,2
perguntou,2
navio,2
mantimentos,2
podíamos,2
irmos,2
nisto,2
concordaram,2
destes,2
costume,2
desses,2
amansar,2
afastavam,2
tantos,2
andaram,2
galantes,2
nuas,2
joelho,2
resto,2
tintas,2
mulher,2
viam,2
algum,2
valor,2
amostra,2
palmitos,2
colhemos,2
gaita,2
riam,2
som,2
passo,2
recolhiam,2
quer,2
esquivarem,2
limpos,2
ar,2
formosos,2
tem,2
criam,2
andou,2
douro,2
minho,2
misturaram,2
trinta,2
pessoas,2
ossos,2
neles,2
embora,2
pequeninos,2
dedos,2
ficassem,2
madeira,2
atada,2
casa,2
quarenta,2
inhame,2
sementes,2
comem,2
verá,2
las,2
carpinteiros,2
viessem,2
haverá,2
algumas,2
infinitas,2
duvido,2
sertão,2
levar,2
dispostos,2
comeram,2
cama,2
lençóis,2
querendo,2
comida,2
bebiam,2
revolta,2
viriam,2
quatrocentos,2
arvoredo,2
vem,2
tomamos,2
la,2
cristãos,2
entenderem,2
á,2
pois,2
deseja,2
salvação,2
si,2
pajem,2
irmão,2
maio,2
religiosos,2
levantadas,2
comunhão,2
comungaram,2
chamava,2
céu,2
vosso,2
beijar,2
desejo,2
ficam,2
estes,2
estender,2
ficarão,2
contudo,2
águas,2
mercê,2
carta,1
el,1
rei,1
d,1
manuel,1
dominus,1
paulo,1
1963,1
escrevam,1
notícia,1
achou,1
deixarei,1
puder,1
contar,1
saiba,1
pior,1
tome,1
ignorância,1
creia,1
aformosentar,1
afear,1
marinhagem,1
singraduras,1
darei,1
saberei,1
devem,1
cuidado,1
hei,1
começo,1
quê,1
sabe,1
março,1
14,1
8,1
achamos,1
canárias,1
canária,1
calma,1
22,1
ilhas,1
cabo,1
escolar,1
amanheceu,1
perdeu,1
vasco,1
ataíde,1
forte,1
contrário,1
diligências,1
achar,1
apareceu,1
oitavas,1
páscoa,1
21,1
sinais,1
dita,1
660,1
670,1
ervas,1
mareantes,1
botelho,1
dão,1
rabo,1
asno,1
furabuchos,1
véspera,1
primeiramente,1
redondo,1
serras,1
baixas,1
pôs,1
pascoal,1
prumo,1
dezenove,1
limpa,1
ficamo,1
dezessete,1
dezesseis,1
quinze,1
catorze,1
chegaríamos,1
avistamos,1
disseram,1
falaram,1
dezoito,1
rijamente,1
pôde,1
aproveitasse,1
quebrar,1
somente,1
barrete,1
copazinha,1
pardas,1
ramal,1
miúdas,1
aljôfar,1
peças,1
manda,1
ventou,1
sueste,1
chuvaceiros,1
caçar,1
capitânia,1
conselho,1
amarrados,1
popa,1
abrigada,1
ficássemos,1
minguar,1
prevenirmos,1
estariam,1
juntado,1
chegados,1
achassem,1
amainassem,1
velejando,1
levantado,1
chegando,1
atrás,1
talvez,1
onze,1
lopez,1
mandado,1
vivo,1
destro,1
sondar,1
aproveitou,1
recebidos,1
festa,1
serem,1
avermelhados,1
narizes,1
cobertura,1
fazem,1
mostrar,1
cara,1
acerca,1
verdadeiro,1
travessa,1
grossura,1
fuso,1
algodão,1
agudo,1
furador,1
metem,1
dentes,1
roque,1
xadrez,1
encaixado,1
magoa,1
põe,1
estorvo,1
corredios,1
tosquiados,1
tosquia,1
pente,1
grandeza,1
solapa,1
detrás,1
amarela,1
coto,1
cerrada,1
cobria,1
toutiço,1
pegada,1
confeição,1
branda,1
igual,1
míngua,1
lavagem,1
sentado,1
estrado,1
corrêa,1
acenderam,1
tochas,1
cortesia,1
fitou,1
acenos,1
quisesse,1
olhou,1
pardo,1
carneiro,1
tiveram,1
pegaram,1
espantados,1
pão,1
confeitos,1
fartéis,1
mel,1
figos,1
passados,1
daquilo,1
provavam,1
taça,1
gostaram,1
albarrada,1
provaram,1
bochecho,1
beberam,1
lavaram,1
bocas,1
lançaram,1
viu,1
braço,1
tomávamos,1
sentido,1
desejarmos,1
levaria,1
queríamos,1
entender,1
dera,1
estiraram,1
procurarem,1
fanadas,1
rapadas,1
coxim,1
esforçava,1
estragar,1
deitaram,1
manto,1
consentindo,1
aconchegaram,1
adormeceram,1
demandar,1
fundo,1
ancoradouro,1
formoso,1
podem,1
distribuídas,1
ancoradas,1
deixassem,1
levando,1
braços,1
campainha,1
criado,1
dom,1
joão,1
telo,1
andar,1
frecha,1
direitos,1
depusessem,1
afastaram,1
pousado,1
saídos,1
esperavam,1
corriam,1
correria,1
braga,1
correndo,1
moitas,1
leváramos,1
entravam,1
enchiam,1
chegassem,1
bordo,1
tomávamo,1
pediam,1
manilhas,1
manilha,1
encarna,1
partiram,1
buracos,1
borracha,1
azulada,1
d'escaques,1
novinhas,1
gentis,1
cerradinhas,1
limpas,1
olharmos,1
envergonhavam,1
barbaria,1
ouvia,1
acenamos,1
encheram,1
quantos,1
vínhamos,1
voltássemos,1
voltamos,1
bacia,1
pequena,1
trataram,1
agasalhara,1
levamo,1
idade,1
galanteria,1
cheio,1
pegadas,1
corpo,1
seteado,1
sebastião,1
vergonha,1
feições,1
envergonhara,1
fanado,1
folgar,1
querer,1
aquando,1
baixamar,1
vazio,1
cercado,1
barco,1
nado,1
pescaram,1
chinchorro,1
mataram,1
volvemo,1
pascoela,1
determinou,1
arranjassem,1
feito,1
armar,1
pavilhão,1
arranjado,1
entoada,1
mesma,1
padres,1
assistiram,1
ouvida,1
cristo,1
saíra,1
desvestiu,1
lançados,1
solene,1
proveitosa,1
história,1
evangélica,1
tratou,1
vida,1
referindo,1
sob,1
cuja,1
obediência,1
propósito,1
assistimos,1
estaria,1
atendíamos,1
tangeram,1
corno,1
buzina,1
saltar,1
almadias,1
traves,1
juntas,1
encaminhou,1
embarcamos,1
dianteira,1
levara,1
entregar,1
tiro,1
metendo,1
punham,1
parecesse,1
tinto,1
quadris,1
coxas,1
vazios,1
barriga,1
estômago,1
comia,1
desfazia,1
saía,1
implicarem,1
pensavam,1
acenavam,1
saíssem,1
viemo,1
tangendo,1
trombetas,1
gaitas,1
constranger,1
espraia,1
descobre,1
cascalho,1
buscar,1
marisco,1
camarões,1
grossos,1
vinha,1
cascas,1
berbigões,1
amêijoas,1
toparam,1
peça,1
inteira,1
termos,1
aportou,1
companhia,1
descobrir,1
viagem,1
falas,1
resolução,1
tomada,1
par,1
deixando,1
lugar,1
necessário,1
dizerem,1
perguntam,1
informação,1
deixássemos,1
entende,1
cedo,1
aprenderiam,1
saberem,1
estoutros,1
digam,1
cá,1
cuidássemos,1
escândalo,1
sim,1
apaziguar,1
unicamente,1
partíssemos,1
determinado,1
fôssemos,1
quejando,1
folgarmos,1
armados,1
chegássemos,1
ensino,1
dantes,1
saíssemos,1
proas,1
ancho,1
jogo,1
mancal,1
desembarcamos,1
aguardavam,1
tomassem,1
colo,1
chamou,1
reconhecerem,1
passava,1
falavam,1
ditas,1
resgatavam,1
veríeis,1
pintados,1
novas,1
coxa,1
quadril,1
nádega,1
natural,1
curvas,1
colos,1
descobertas,1
nisso,1
desvergonha,1
menino,1
menina,1
atado,1
perninhas,1
mãe,1
seguida,1
subindo,1
rente,1
esperou,1
pá,1
falou,1
presença,1
perguntava,1
desejávamos,1
cabia,1
polegar,1
fechava,1
diabo,1
estivemos,1
rindo,1
dizendo,1
chalaças,1
enfadou,1
deixou,1
valer,1
desembarcado,1
dançando,1
tomarem,1
banda,1
almoxarife,1
sacavém,1
gracioso,1
gaiteiro,1
tomando,1
dançarem,1
voltas,1
ligeiras,1
salto,1
real,1
espantavam,1
conquanto,1
segurou,1
afagou,1
esquiveza,1
animais,1
monteses,1
rentes,1
lagoa,1
ribeira,1
apaulada,1
sai,1
lugares,1
levaram,1
tubarão,1
matou,1
bastará,1
amansassem,1
pardais,1
cevadouro,1
ousa,1
rijo,1
passa,1
amansarmos,1
falado,1
conversa,1
despediu,1
passar,1
recatando,1
quis,1
teve,1
nunca,1
apareceram,1
fatos,1
deduzo,1
bestial,1
esquiva,1
curados,1
convenço,1
alimárias,1
montesinhas,1
melhores,1
cabelo,1
mansas,1
gordos,1
presumir,1
moradias,1
recolham,1
nenhumas,1
pareça,1
regressou,1
consentir,1
tomara,1
fugia,1
queixou,1
após,1
vira,1
choupaninhas,1
rama,1
feteiras,1
vezes,1
afastados,1
abraçavam,1
folhas,1
papel,1
carapucinha,1
velha,1
nossas,1
barretes,1
amarelos,1
brincaram,1
andarmos,1
tinturas,1
metades,1
ras,1
bastantes,1
ouriços,1
castanheiras,1
cheios,1
grãos,1
esmagando,1
desfaziam,1
tinta,1
tingidos,1
molhavam,1
ficavam,1
sobrancelhas,1
pestanas,1
testas,1
fita,1
largura,1
alegre,1
ordenou,1
povoação,1
haveria,1
ilhargas,1
tábuas,1
cobertas,1
palha,1
razoável,1
altura,1
espaço,1
repartição,1
esteios,1
rede,1
dormiam,1
aquentarem,1
fogos,1
portas,1
pequenas,1
extremidade,1
oposta,1
encontraram,1
alimentos,1
dá,1
resgataram,1
coisinhas,1
tecido,1
assaz,1
belo,1
estas,1
vô,1
lavar,1
roupa,1
ajudavam,1
acarretar,1
metê,1
lutavam,1
fazíamos,1
construíam,1
cortara,1
ferramenta,1
cortam,1
paus,1
pedras,1
cunhas,1
metidas,1
talas,1
fortes,1
conversação,1
estorvavam,1
aldeia,1
mandassem,1
andávamos,1
mata,1
cortar,1
atravessavam,1
essas,1
pombas,1
seixeiras,1
pareceram,1
maiores,1
bastante,1
portugal,1
vários,1
rolas,1
espécies,1
haja,1
cerca,1
volvemos,1
dei,1
feitio,1
ferros,1
canas,1
aparadas,1
conforme,1
enviar,1
despejá,1
podia,1
trezentos,1
ordenara,1
dormissem,1
voltado,1
quererem,1
pretas,1
pegas,1
diferença,1
bico,1
branco,1
rabos,1
recolheu,1
admitiu,1
prol,1
pensar,1
curá,1
ração,1
dormiram,1
folgaram,1
escrever,1
derradeiro,1
toalhas,1
comeu,1
lacão,1
frio,1
arroz,1
metemo,1
grumete,1
armadura,1
porco,1
montês,1
segurar,1
pouca,1
cera,1
ajeitou,1
adereço,1
segurasse,1
contente,1
tivesse,1
jóia,1
aparecer,1
andariam,1
comiam,1
dávamos,1
acostumarem,1
pinturas,1
agradavam,1
acarretavam,1
dessa,1
quanta,1
mil,1
boas,1
vontades,1
mansos,1
seguros,1
descansamos,1
bebendo,1
basto,1
qualidade,1
folhagem,1
calcular,1
sairmos,1
encostada,1
árvore,1
colocada,1
amanhã,1
puséssemos,1
beijássemos,1
acatamento,1
fizessem,1
beijá,1
entendêssemos,1
visto,1
entendem,1
crença,1
aparências,1
aprenderem,1
tenção,1
farão,1
crer,1
praza,1
traga,1
certamente,1
bela,1
simplicidade,1
imprimir,1
facilmente,1
cunho,1
quiserem,1
trazer,1
acrescentar,1
católica,1
cuidar,1
prazerá,1
trabalho,1
lavram,1
boi,1
vaca,1
cabra,1
ovelha,1
animal,1
esteja,1
acostumado,1
dessas,1
frutos,1
deitam,1
rijos,1
nédios,1
somos,1
trigo,1
legumes,1
dançaram,1
bailaram,1
tamboril,1
amigos,1
aprontavam,1
convidáramos,1
porém,1
gomes,1
trazido,1
agasalhados,1
colchões,1
desembarcar,1
acima,1
arvorar,1
marcou,1
cova,1
fincar,1
abrindo,1
abaixo,1
cantavam,1
trazendo,1
procissão,1
oitenta,1
debaixo,1
ajudar,1
passamos,1
colocá,1
tiros,1
besta,1
cento,1
plantada,1
armas,1
divisa,1
pregado,1
armaram,1
cantada,1
erguemos,1
alçaram,1
assentar,1
pusemos,1
sossegados,1
certifico,1
comungando,1
anos,1
conservou,1
juntava,1
ficado,1
falando,1
acenou,1
mostrou,1
dissesse,1
vestimenta,1
alva,1
apóstolos,1
cujo,1
tratando,1
prosseguimento,1
santo,1
virtuoso,1
causou,1
cruzes,1
estanho,1
crucifixos,1
vinda,1
houveram,1
lançassem,1
assentou,1
lançava,1
fio,1
fazendo,1
trouxe,1
gesto,1
honra,1
mourisca,1
destoutras,1
falece,1
cristã,1
mesmos,1
idolatria,1
adoração,1
devagar,1
ande,1
serão,1
tornados,1
convertidos,1
vier,1
deixe,1
clérigo,1
batizar,1
terão,1
conhecimentos,1
moça,1
lembrava,1
cobrir,1
adão,1
pudor,1
ora,1
veja,1
vive,1
convertera,1
ensinarem,1
pertence,1
perante,1
despedimo,1
grumetes,1
fugidos,1
cremos,1
prazendo,1
fazemos,1
barreiras,1
cheia,1
formosa,1
olhos,1
extensa,1
pudemos,1
metal,1
ares,1
frescos,1
temperados,1
d'agora,1
aproveitar,1
fruto,1
salvar,1
principal,1
semente,1
pousada,1
calicute,1
bastava,1
disposição,1
cumprir,1
acrescentamento,1
dou,1
alonguei,1
perdoe,1
vos,1
mo,1
cargo,1
levo,1
serviço,1
for,1
servida,1
peço,1
singular,1
mande,1
tomé,1
jorge,1
osório,1
genro,1
d'ela,1
receberei,1
beijo,1
1500,1
vaz,1
caminha,1
